observer,score
obsr1000247,0.275179353407704
obsr1008353,0.127294633168024
obsr1014561,0.0766859270434119
obsr1020737,0.152871311054102
obsr1032160,0.222101830818323
obsr1034752,0.268564285795317
obsr1034769,0.330378600534191
obsr1034779,0.446687871892296
obsr1034796,0.326001062252909
obsr1034802,0.46850557358862
obsr1034819,0.2771997975988
obsr1034825,0.355703517864744
obsr1034899,0.232207081105177
obsr1034903,0.293897397578001
obsr1040093,0.145953852212197
obsr1040100,0.359704003830473
obsr1041734,0.423015601838353
obsr1045957,0.333357811234541
obsr1047910,0.0460158689025778
obsr105320,0.127135456101375
obsr1055198,0.425499994385978
obsr1063189,0.322095551349171
obsr1064427,0.369215084766837
obsr1082212,0.137434841800601
obsr1119268,0.0945148085444964
obsr112862,0.161574674183342
obsr1133334,0.170161729359023
obsr1152923,0.143044184376197
obsr1195715,0.342867650833471
obsr119608,0.221909044509538
obsr1197400,0.249307700880968
obsr119760,0.195227492215284
obsr1198727,0.214788077098669
obsr1205113,0.239931908992039
obsr121883,0.175444771251338
obsr1435611,0.133008590583101
obsr157927,0.353160928975138
obsr163746,0.129035087112753
obsr163792,0.15770505906736
obsr172204,0.173959788870916
obsr176459,0.194529734777309
obsr189701,0.0910620360602756
obsr189916,0.0924854620538242
obsr198305,0.162252756324097
obsr199722,0.0877180235058315
obsr205067,0.128596257686558
obsr225110,0.171219086338784
obsr225199,0.31753546744448
obsr226427,0.199360792128991
obsr235781,0.0957000707001604
obsr236430,0.208652092185806
obsr236487,0.229775054227502
obsr237758,0.162252756324097
obsr241057,0.262099988196304
obsr241514,0.122592714662008
obsr241865,0.111204110205521
obsr247511,0.0973972915451254
obsr248022,0.158565795074041
obsr276243,0.224378605669626
obsr277578,0.17393419923042
obsr280052,0.245381345523522
obsr281197,0.304947938319989
obsr281665,0.244814843770383
obsr282780,0.0935121774311333
obsr289284,0.0995815490243801
obsr302277,0.205274706894406
obsr307958,0.0921651732122333
obsr307968,0.094664526618296
obsr324676,0.0505561463365371
obsr33824,0.0877180235058316
obsr340851,0.0784386104558684
obsr349104,0.0282797108666126
obsr351155,0.205755674750656
obsr354921,0.176086701026007
obsr357916,0.290378477502712
obsr358178,0.37524911594851
obsr358210,0.234501787980664
obsr358384,0.162800434291367
obsr358767,0.20999039410701
obsr358776,0.208850051838127
obsr359158,0.274639840062425
obsr359981,0.343987028111273
obsr359996,0.161568701128931
obsr360038,0.119108227159837
obsr360080,0.178065756303158
obsr360088,0.120922611170152
